Length,Diameter,Height,Weight,Viscera Weight,Shell Weight,Age,Sex_F,Sex_I,Sex_M
1.4375,1.175,0.4125,24.6357155,5.5848515,6.747181,9,1,0,0
0.8875,0.65,0.2125,5.40057975,1.37495075,1.5592225,6,0,0,1
1.0375,0.775,0.25,7.95203475,1.60174675,2.76407625,6,0,1,0
1.175,0.8875,0.25,13.48018725,2.28213475,5.2446575,10,1,0,0
0.8875,0.6625,0.2125,6.90310325,1.48834875,1.70097,6,0,1,0
1.55,1.1625,0.35,28.6613445,6.76135575,7.2291225,8,1,0,0
1.3,1.0,0.325,17.70426275,5.85417175,4.819415,15,1,0,0
1.325,1.0125,0.375,23.57260925,5.3013565,7.15824875,10,0,0,1
1.5875,1.25,0.4125,42.2124055,9.76640275,10.24834425,13,0,1,0
0.9125,0.6875,0.3375,6.80388,1.26155275,2.08368825,7,0,1,0
0.825,0.5375,0.1875,3.24601775,0.75126175,0.9922325,6,0,0,1
1.3625,1.05,0.4375,21.375523,5.03203625,7.7961125,10,1,0,0
0.8625,0.6375,0.225,5.68407475,0.83631025,1.7860185,9,0,0,1
1.375,1.075,0.3625,20.184844,4.309124,6.3786375,10,0,1,0
1.225,0.95,0.3,14.9968855,3.9405805,4.3941725,11,0,1,0
1.6375,1.2875,0.5,42.354153,8.7599955,11.4815475,12,1,0,0
1.6,1.3125,0.45,37.23706825,8.49067525,11.55242125,10,0,0,1
1.0625,0.775,0.225,8.5331995,1.8427175,2.26796,7,0,1,0
1.475,1.1,0.375,27.08794725,6.87475375,8.3631025,11,0,0,1
0.7625,0.575,0.1875,4.12485225,0.86465975,1.417475,6,0,1,0
1.1125,0.8,0.3,11.736693,2.551455,3.3168915,7,0,0,1
1.625,1.3125,0.475,39.2640575,8.77417025,11.4815475,11,1,0,0
0.925,0.6875,0.2375,7.2858215,1.5592225,2.33883375,6,0,1,0
0.575,0.4375,0.1625,1.82854275,0.29766975,0.56699,5,0,1,0
1.2625,0.975,0.325,19.107563,3.9972795,5.06038575,9,1,0,0
1.2625,1.0,0.3875,23.85610425,5.03203625,8.0796075,12,0,0,1
1.3375,1.075,0.35,20.31241675,4.52174525,6.10931725,8,0,0,1
1.525,1.2125,0.4375,35.28095275,8.4198015,9.7805775,12,0,0,1
1.575,1.2875,0.4,37.874932,9.08601475,9.922325,11,1,0,0
1.0875,0.8125,0.3,11.32562525,1.7293195,3.18931875,8,0,1,0
1.0625,0.875,0.2625,11.1413535,1.7860185,4.6776675,9,0,0,1
1.25,0.95,0.3375,14.98271075,3.4869885,5.9250455,8,0,1,0
1.4875,1.1875,0.425,35.3518265,6.3786375,12.0485375,20,1,0,0
1.55,1.225,0.475,34.529691,8.40562675,10.0640725,13,0,0,1
1.4,1.0375,0.325,21.58814425,4.819415,5.54232725,8,0,0,1
1.1125,0.8625,0.2625,11.5949455,2.87747425,3.3168915,7,0,1,0
1.0125,0.775,0.3,8.77417025,1.644271,2.6932025,13,1,0,0
0.75,0.575,0.2,3.61456125,0.75126175,1.13398,8,0,1,0
1.05,0.825,0.25,9.979024,2.5231055,2.83495,9,0,1,0
1.4375,1.125,0.3375,22.8780465,4.989512,7.200773,10,0,1,0
0.8,0.5125,0.2,5.1312595,0.963883,1.40330025,5,0,1,0
1.7,1.4,0.4875,50.39123625,9.128539,11.7650425,11,1,0,0
1.5125,1.1875,0.4375,34.0477495,7.7961125,8.7599955,10,0,0,1
1.0375,0.775,0.2375,8.8166945,1.77184375,3.2601925,8,0,1,0
1.725,1.35,0.4625,44.55123925,9.015141,13.324265,15,1,0,0
1.25,1.025,0.375,18.767369,3.8838815,6.23689,11,0,0,1
1.725,1.45,0.4875,47.003471,10.24834425,13.36678925,10,1,0,0
1.375,1.175,0.375,25.4295015,5.216308,8.221355,9,1,0,0
1.525,1.175,0.3875,29.27085875,6.16601625,7.89533575,9,0,0,1
1.1375,0.875,0.275,12.984071,3.1467945,3.69960975,8,0,0,1
1.8,1.3625,0.4875,49.54075125,10.8578585,13.33843975,11,0,0,1
1.375,1.1,0.4125,24.39474475,4.7910655,8.50485,17,0,1,0
1.3125,1.025,0.3375,20.08562075,4.32329875,6.6621325,11,1,0,0
1.175,0.8875,0.2875,11.77921725,2.381358,3.9405805,7,0,1,0
1.775,1.4125,0.4875,48.94541175,9.53960675,16.0174675,17,1,0,0
1.4375,1.1625,0.35,27.158821,5.14543425,7.66853975,9,1,0,0
0.6875,0.5,0.1375,2.62232875,0.5953395,0.737087,4,0,1,0
1.325,0.95,0.3125,17.463292,3.2034935,5.2446575,8,0,1,0
1.2625,0.9375,0.45,16.102516,4.23825025,4.819415,12,1,0,0
1.0625,0.95,0.2625,9.25611175,2.22543575,2.83495,10,0,1,0
1.075,0.825,0.25,12.7289255,2.33883375,2.7499015,6,0,1,0
0.825,0.65,0.2,5.386405,1.09145575,1.8427175,7,0,1,0
1.6375,1.2875,0.3625,35.436875,8.0229085,8.9300925,15,0,1,0
1.6125,1.25,0.5,40.49726075,8.6465975,10.20582,11,1,0,0
1.3125,1.0375,0.4,18.27125275,4.46504625,6.23689,12,0,0,1
1.6875,1.3,0.3625,38.68289275,9.65300475,10.9145575,11,0,0,1
1.275,1.1375,0.3375,19.43358225,4.365823,5.76912325,9,0,1,0
1.4625,1.1375,0.375,27.9809565,5.88252125,8.788345,11,0,0,1
0.925,0.7,0.25,7.144074,1.68679525,2.097863,8,0,0,1
0.7,0.5125,0.25,3.30271675,0.80796075,0.850485,5,0,0,1
0.875,0.6375,0.2125,6.08096775,1.31825175,1.70097,13,0,0,1
1.525,1.1875,0.3875,33.112216,6.7755305,9.34116025,10,0,0,1
1.125,0.8375,0.3125,12.68640125,3.572037,3.118445,6,0,0,1
1.4625,1.175,0.425,27.9242575,6.78970525,8.9300925,10,0,1,0
1.35,1.075,0.35,23.23241525,4.89028875,6.50621025,9,0,1,0
1.35,1.0875,0.4375,25.287754,4.932813,9.4970825,13,1,0,0
1.325,1.0,0.3625,15.7339725,3.69960975,5.5281525,9,0,1,0
1.9375,1.425,0.55,57.606184,13.48018725,18.66814575,17,0,0,1
1.3125,1.0,0.2875,17.84601025,4.082328,5.10291,11,1,0,0
1.55,1.25,0.4375,32.488527,6.520385,11.056305,13,1,0,0
1.575,1.2875,0.4,28.803092,6.917278,10.0640725,19,0,0,1
1.25,1.0,0.3125,16.93882625,3.61456125,4.706017,9,0,0,1
1.85,1.45,0.5125,67.5001595,13.31009025,13.834556,12,0,0,1
1.05,0.8125,0.25,10.432616,1.77184375,3.21766825,11,0,1,0
1.4,1.05,0.45,47.18774275,9.922325,12.82814875,9,1,0,0
1.3,0.95,0.35,14.8834875,3.2601925,5.2446575,11,0,1,0
1.575,1.2,0.4125,36.457457,7.6827145,9.922325,8,0,0,1
1.2,0.9375,0.3625,22.0275615,3.685435,4.819415,9,0,0,1
1.5,1.275,0.4625,36.4291075,7.78193775,8.9300925,9,0,0,1
1.6,1.25,0.375,34.06192425,6.5487345,9.51125725,9,1,0,0
1.0125,0.775,0.1625,9.08601475,1.871067,2.494756,6,0,1,0
1.425,1.1,0.3125,24.5223175,4.89028875,7.654365,12,1,0,0
1.325,1.0125,0.375,25.2027055,6.44951125,6.0951425,8,1,0,0
0.7375,0.5375,0.1875,3.288542,0.83631025,1.13398,8,0,1,0
1.375,1.0625,0.3875,24.73493875,5.3013565,6.87475375,10,0,1,0
1.7375,1.325,0.525,42.807745,11.60912025,10.9145575,10,0,0,1
1.35,1.0625,0.35,21.035329,3.95475525,7.087375,9,0,1,0
1.375,1.075,0.3125,26.1665885,4.9611625,8.0229085,8,1,0,0
1.5625,1.2375,0.4,31.51046925,8.00873375,9.7805775,11,1,0,0
1.5375,1.15,0.475,30.220567,6.406987,9.355335,13,0,1,0
1.475,1.1625,0.3375,28.05183025,5.6415505,7.93786,8,0,0,1
1.3125,1.0,0.325,23.51591025,5.17378375,7.7961125,11,0,0,1
1.225,0.9625,0.3,16.7545545,3.18931875,5.03203625,9,0,1,0
1.0625,0.8,0.25,8.66077225,1.70097,3.005047,7,0,1,0
0.8875,0.7,0.275,6.33611325,1.48834875,2.26796,7,0,1,0
1.175,0.9375,0.325,14.8267885,3.742134,4.1106775,8,0,0,1
1.4875,1.1625,0.375,27.78251,5.556502,6.39281225,10,1,0,0
1.55,1.2,0.4,30.51823675,7.1724235,8.50485,13,0,0,1
1.4875,1.15,0.4,26.1098895,5.74077375,8.15048125,9,1,0,0
0.9875,0.725,0.2375,8.618248,2.381358,2.1829115,6,0,1,0
1.575,1.225,0.475,33.38153625,9.53960675,8.0796075,11,0,0,1
1.4375,1.1125,0.3625,24.834162,4.57844425,7.654365,10,0,0,1
0.675,0.4875,0.2,2.83495,0.55281525,0.850485,6,0,0,1
1.25,0.9625,0.2625,14.118051,3.10427025,4.819415,17,1,0,0
1.475,1.125,0.4,25.3161035,6.19436575,9.7805775,14,0,1,0
1.65,1.3375,0.475,45.08987975,8.4198015,14.67086625,9,0,0,1
0.975,0.75,0.225,7.144074,1.5025235,2.26796,7,0,1,0
1.2125,1.0375,0.35,16.17338975,3.798833,5.2446575,8,0,1,0
1.4875,1.225,0.4625,33.5941575,5.71242425,10.2341695,10,0,0,1
0.6875,0.5125,0.175,2.664853,0.56699,0.92135875,5,0,0,1
1.175,0.9,0.325,14.81261375,3.01922175,4.6776675,9,0,1,0
1.2625,0.9625,0.3125,16.896302,2.7499015,5.953395,9,0,1,0
1.725,1.325,0.425,44.04094825,9.87980075,10.47514025,9,1,0,0
1.0625,0.7875,0.2,8.5898985,1.65844575,2.6932025,7,0,1,0
1.3875,1.15,0.3625,25.52872475,4.479221,7.83863675,11,0,1,0
1.5125,1.2,0.375,30.5891105,8.03708325,8.3064035,10,1,0,0
0.775,0.5875,0.225,3.6003865,0.8788345,1.13398,6,0,1,0
1.125,0.8375,0.35,13.11164375,2.154562,4.252425,14,0,0,1
1.325,1.05,0.3875,22.963095,3.1467945,5.443104,10,0,1,0
0.825,0.6625,0.225,5.10291,1.020582,1.70097,6,0,1,0
1.25,0.9625,0.3875,21.602319,4.5642695,5.386405,14,0,1,0
0.9625,0.6625,0.2,7.1157245,1.0489315,1.984465,6,0,1,0
1.525,1.2,0.475,36.72677725,9.14271375,10.3475675,12,1,0,0
1.3625,1.05,0.3625,22.055911,4.37999775,5.8116475,7,0,0,1
1.575,1.2125,0.4375,36.85435,8.34892775,13.04077,23,0,0,1
0.8375,0.625,0.2,5.1879585,1.13398,1.63009625,6,0,1,0
